project,pr_name,build_id,num_changed_files,num_addition,num_deletion,num_changed_line
activemq,PR-644,1,1,2,1,3
activemq,PR-656,1,2,227,1,228
activemq,PR-669,3,4,414,0,414
activemq,PR-679,1,3,130,13,143
activemq,PR-680,1,12,850,4,854
activemq,PR-681,1,6,128,2,130
activemq,PR-656,2,2,227,1,228
activemq,PR-700,1,1,1,32,33
activemq,PR-700,2,1,1,41,42
activemq,PR-700,3,1,1,41,42
activemq,PR-679,2,3,47,48,95
activemq,PR-714,1,9,156,71,227
activemq,PR-751,3,13,1230,0,1230
activemq,PR-751,4,13,1230,0,1230
activemq,PR-764,1,14,113,202,315
activemq,PR-771,4,2,112,9,121
activemq,PR-793,3,1,55,0,55
activemq,PR-793,4,1,55,0,55
activemq,PR-793,5,1,56,0,56
activemq,PR-798,1,1,1,1,2
activemq,PR-835,3,10,210,10,220
activemq,PR-835,4,10,210,10,220
activemq,PR-835,5,10,215,12,227
activemq,PR-835,6,10,211,8,219
activemq,PR-839,1,3,49,0,49
activemq,PR-839,2,3,49,0,49
activemq,PR-900,1,2,2,2,4
activemq,PR-848,4,35,4592,49,4641
activemq,PR-848,5,35,4592,49,4641
activemq,PR-839,3,3,49,0,49
activemq,PR-916,1,3,0,10,10
activemq,PR-771,5,2,112,9,121
activemq,PR-931,2,53,4780,93,4873
activemq,PR-931,3,53,4780,93,4873
activemq,PR-931,4,53,4782,93,4875
activemq,PR-937,1,8,61,4,65
activemq,PR-937,2,8,61,4,65
activemq,PR-937,3,5,49,0,49
activemq,PR-937,4,5,45,0,45
activemq,PR-907,2,1,173,0,173
activemq,PR-907,3,1,9,5,14
activemq,PR-947,2,2,162,3,165
activemq,PR-947,3,2,163,3,166
activemq,PR-947,4,2,163,3,166
activemq,PR-848,8,47,7566,8,7574
activemq,PR-949,1,3,96,30,126
activemq,PR-949,2,9,359,30,389
activemq,PR-949,3,10,423,30,453
activemq,PR-951,1,1,13,5,18
activemq,PR-931,5,53,4782,93,4875
activemq,PR-900,2,2,2,2,4
activemq,PR-839,4,3,49,0,49
activemq,PR-798,2,1,1,1,2
activemq,PR-793,7,1,57,0,57
activemq,PR-788,2,14,76,79,155
activemq,PR-771,6,2,112,9,121
activemq,PR-764,2,14,113,202,315
activemq,PR-714,2,9,156,71,227
activemq,PR-700,4,1,1,41,42
activemq,PR-679,3,3,47,48,95
activemq,PR-656,3,2,227,1,228
activemq,PR-644,2,1,2,1,3
activemq,PR-263,1,3,100,4,104
activemq,PR-230,1,1,121,0,121
activemq,PR-160,1,1,10,7,17
activemq,PR-126,1,1,1,12,13
activemq,PR-953,1,8,138,8,146
activemq,PR-953,2,8,138,8,146
activemq,PR-955,1,1,12,0,12
activemq,PR-956,3,1,15,5,20
activemq,PR-839,5,3,49,0,49
activemq,PR-953,3,8,144,8,152
activemq,PR-956,4,1,7,2,9
activemq,PR-950,7,9,282,144,426
activemq,PR-956,5,1,7,2,9
activemq,PR-950,8,9,284,146,430
activemq,PR-953,4,9,153,16,169
activemq,PR-957,1,2,44,0,44
activemq,PR-950,10,9,439,156,595
activemq,PR-950,11,9,439,156,595
activemq,PR-958,1,1,33,1,34
activemq,PR-900,3,2,2,2,4
activemq,PR-771,7,2,112,9,121
activemq,PR-960,1,1,11,11,22
activemq,PR-961,1,1,1,1,2
activemq,PR-962,1,1,1,1,2
activemq,PR-963,1,1,1,1,2
activemq,PR-900,4,2,2,2,4
activemq,PR-900,5,2,2,2,4
activemq,PR-964,9,3,14,14,28
activemq,PR-961,2,1,1,1,2
activemq,PR-771,8,3,113,9,122
activemq,PR-962,2,1,1,1,2
activemq,PR-962,3,1,1,1,2
activemq,PR-965,4,1,54,7,61
activemq,PR-962,4,1,1,1,2
activemq,PR-966,1,5,5,0,5
activemq,PR-962,5,1,1,1,2
activemq,PR-965,5,2,207,7,214
activemq,PR-916,3,3,1,10,11
activemq,PR-967,1,2,10922,4940,15862
activemq,PR-965,6,2,207,7,214
activemq,PR-965,7,3,212,7,219
activemq,PR-965,8,4,234,15,249
activemq,PR-970,1,1,1,1,2
