project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
hadoop,PR-375,trunk,2,9894.0,1596073872.0,FAILURE,762db5bde1c69b54458bea8eb69aa544636c709a,21396.242,6382,4,22,2020-07-29,5d8600e80ad7864b332b60d5a01585fdf00848ee,build_log,single,331643.33400000003,20563.904,733,4,4,6382,4
hadoop,PR-2090,trunk,3,18524.0,1596168909.0,FAILURE,c96224a8a21c9c810c6a88a4547ed3868de4d8ee,1548.9954,4202,0,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,24118.668,1439.317,479,0,0,4202,0
hadoop,PR-2071,trunk,3,20925.0,1596168920.0,FAILURE,c2f7c2de1e3b0218e8f1a58cb3a184b106338b3f,1450.5155,4202,0,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,20692.855,1354.266,479,0,0,4202,0
hadoop,PR-2037,trunk,3,27256.0,1596168938.0,FAILURE,597aeb1fba4ad99624c566662586e15924d7c03e,22990.9,6468,10,22,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,357460.65300000005,22061.891,757,8,10,6468,10
hadoop,PR-2028,trunk,3,21333.0,1596168939.0,FAILURE,884f2024fb4dd777cfc4849dc52ef76e978abec6,655.57495,711,0,0,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,7653.413000000002,562.7429999999999,89,0,0,711,0
hadoop,PR-2011,trunk,3,19454.0,1596168945.0,FAILURE,6390ef63688e5e9f552ba570d5ed003e754b8816,11.757,11,0,0,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,28.396,11.221000000000002,6,0,0,11,0
hadoop,PR-1924,trunk,3,30013.0,1596169072.0,FAILURE,7b198ee5e2ed03688cc4426f25433e910329ad86,1591.0193,4195,7,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,22727.68,1478.029,475,4,4,4195,7
hadoop,PR-1904,trunk,3,29197.0,1596169106.0,FAILURE,6f6e923fc554bbb865b9acd3ad7dfe119dde3c57,94.443,140,0,0,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,963.409,78.624,22,0,0,140,0
hadoop,PR-1892,trunk,3,31144.0,1596169172.0,FAILURE,84a43a99fe0aeedb99771e780b4e0876ff4862ee,1591.5059,4205,0,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,22900.955,1477.062,479,0,0,4205,0
hadoop,PR-1875,branch-3.2,2,27154.0,1596169210.0,SUCCESS,3dd3c04d710f7219c2c49e34a4f54155467d6d7a,273.912,377,0,1,2020-07-31,863689ff9a34d9712541a06757c34499b6005f12,build_log,single,11987.963000000002,261.737,28,0,0,377,0
hadoop,PR-1860,trunk,3,36326.0,1596169215.0,FAILURE,a2ce53d8ff50b0072c50303ed8f7e31d3db99adb,22988.14,6437,15,22,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,355051.194,22048.761,742,8,10,6437,15
hadoop,PR-1783,trunk,3,41336.0,1596169357.0,FAILURE,1568a3aae856ff7c6170f9f3ee0fc7ce97502b05,26153.13,6372,15,23,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,413749.428,25182.193,727,11,9,6372,15
hadoop,PR-1769,trunk,3,46412.0,1596169361.0,FAILURE,ad788824d4041dfe5c496a16b270c55e8172801c,23896.662,10580,11,280,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,372204.141,22921.032,1210,7,10,10580,11
hadoop,PR-1768,trunk,3,39086.0,1596169364.0,FAILURE,6ae80b032451d1a95f3b9389adf0d260102bfd24,1479.4292,4205,0,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,21436.756,1381.658,479,0,0,4205,0
hadoop,PR-1746,trunk,3,37150.0,1596169429.0,FAILURE,efeb1e7c40f7d3827da0bc1ba28f1faabd3768c6,1611.4991,352,1,1,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,45960.111,1573.0500000000002,34,1,1,352,1
hadoop,PR-1700,trunk,3,48849.0,1596169546.0,FAILURE,b7e34e774e02802af74d5585efaf7d2528697e4b,21778.877,6376,43,22,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,336525.686,20872.192000000003,746,15,12,6376,43
hadoop,PR-1663,trunk,3,42834.0,1596169590.0,FAILURE,6a5196003b86fe094916a7a1468902dd169e0d3a,143.38098,493,0,7,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,1148.587,132.86399999999998,81,0,0,493,0
hadoop,PR-1651,trunk,3,51178.0,1596169656.0,FAILURE,3bd32245ff1ecc93978db8ba570045f0e76c3b8e,5115.4595,3288,5,9,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,216418.477,4862.932000000001,322,2,2,3288,5
hadoop,PR-1300,trunk,3,52241.0,1596169849.0,FAILURE,e86b43bb9f4d55b59506bdb6eee30e2ba4303979,1454.3867,4200,2,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,20796.231,1354.842,478,1,1,4200,2
hadoop,PR-1223,trunk,3,55273.0,1596169888.0,FAILURE,d06cb9518a22396570c33a501cbbb23f6af21712,1481.4016,4202,0,258,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,21272.019,1378.873,479,0,1,4202,0
hadoop,PR-1137,trunk,3,50204.0,1596169899.0,FAILURE,41e2025cd99f284bf7e0d57754201bc89eac507a,137.50801,493,0,7,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,1112.742,127.733,81,0,0,493,0
hadoop,PR-1036,trunk,3,54386.0,1596169965.0,FAILURE,5eea2de2c420f8c4d666f4f48f7b8153519851bf,1152.038,1153,0,53,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,22900.120000000003,1090.79,149,0,0,1153,0
hadoop,PR-1021,trunk,3,57399.0,1596169970.0,ABORTED,e0c2061c709d32c4136995dbdd8ad9095741a3a4,11922.887,3302,32,13,2020-07-31,05b3337a4605dcb6904cb3fe2a58e4dc424ef015,build_log,single,203799.533,11347.273,352,6,12,3302,32
hadoop,PR-2235,trunk,1,22235.0,1597978938.0,FAILURE,0a0dd6638c9bbcc275c815e68d25f0577620f591,29122.824,11548,8,282,2020-08-20,f734455e5d76c75b7d3a0b751023f5bd02ba38d2,build_log,single,460829.937,27227.919,1332,8,13,11548,8
hadoop,PR-2235,trunk,2,20761.0,1598241317.0,FAILURE,39b8eed614febf5bee303c98a22c708a1ec0eb05,26357.705,11557,3,282,2020-08-23,83fd15b412c4e614defa90f34abb034fd2049231,build_log,single,406461.8659999999,24524.025,1337,3,7,11557,3
hadoop,PR-2235,trunk,3,17224.0,1598256095.0,FAILURE,913c5153114a9ad9972707bb2d7d8c23c6419035,23422.984,10815,3,281,2020-08-24,83fd15b412c4e614defa90f34abb034fd2049231,build_log,single,368700.336,22436.726,1247,3,4,10815,3
hadoop,PR-2235,trunk,4,18097.0,1598265255.0,FAILURE,082282ab59751057c5565ea4f2745db24239e942,23862.184,10811,8,280,2020-08-24,5c927eb550f3d064d13f653140b58725a3724e12,build_log,single,376428.17,22864.162,1245,5,6,10811,8
hadoop,PR-2235,trunk,5,18627.0,1598869226.0,FAILURE,67e197ce042239d26cfaa1d7bbf61cd9e77c1f6e,22505.406,10770,73,206,2020-08-31,60de592a8833e3cb776849bd3b7dfa71065e1bac,build_log,single,347323.992,21532.304000000004,1244,8,13,10770,73
hadoop,PR-2082,trunk,1,12270.0,1600268984.0,SUCCESS,2bba65fed49559ee48edd433a837b905835bf91c,3465.4954,5119,0,185,2020-09-16,ce861836918c0c8e6f0294827e82e90edc984ec3,build_log,single,44744.98,2604.5730000000003,605,0,2,5119,0
hadoop,PR-2328,trunk,1,16778.0,1600791388.0,FAILURE,38ee793319b9c1ea4f67368af2e2e04d37b7b4de,34296.027,6606,32,23,2020-09-22,474fa80bfb11f20fe21272f793307258315e440f,build_log,single,560403.496,32692.76,733,12,12,6606,32
hadoop,PR-2388,trunk,1,12499.0,1602801936.0,FAILURE,90a0ca7e1d1a67bc1f3d2f9ae939f7ca782274a6,21765.018,6617,30,22,2020-10-15,8b8c672780c1505ab7f302c3116a0c5cdd122315,build_log,single,344309.905,20886.521,737,8,18,6617,30
hadoop,PR-2373,trunk,3,12194.0,1603327202.0,FAILURE,6b200a6dd70c64f05e957ee4cbe9ee79afc46567,24187.953,6546,32,22,2020-10-21,7f8ef76c4833262f60cac2956aaa7fb75c0a77bc,build_log,single,382003.198,23208.043,730,12,24,6546,32
hadoop,PR-2403,trunk,1,10999.0,1603388087.0,SUCCESS,3d8bd77c8128ea85c92d0317162630d52c24013f,1686.6846,4345,0,183,2020-10-22,7435604a91a49f5c5717083fbaee74dd8ec1c426,build_log,single,24306.521,1559.495,492,0,0,4345,0
hadoop,PR-2420,trunk,1,13012.0,1603871598.0,FAILURE,190bb7f84029a7568d7fbdf670c15e967c10e18e,1482.2775,4344,2,183,2020-10-28,d0c786db4de99a72802e844a3a2a717a64845cda,build_log,single,21297.166,1380.973,491,1,1,4344,2
hadoop,PR-2430,trunk,1,12763.0,1604444325.0,FAILURE,3c7f9212b14ee7948c617031be610f0cf2cb3abb,26577.719,6632,25,22,2020-11-03,d07dc7afb4aa0d6cc9f9be530802e54610776a4d,build_log,single,441637.69,25489.838,740,5,13,6632,25
hadoop,PR-2445,trunk,1,6275.0,1604766804.0,FAILURE,b46d52143f66764d7c8f86bf6b516ffa446dc82a,122.27801,199,41,98,2020-11-07,ae7b00a9988d4d96f5ca545dca05211ce2e329c6,build_log,single,1589.486,112.159,20,8,8,199,41
hadoop,PR-2446,trunk,1,12608.0,1604890720.0,FAILURE,f86d661e9c33be9020467199393df2ee8afaf9d5,25977.646,6651,6,22,2020-11-08,ae7b00a9988d4d96f5ca545dca05211ce2e329c6,build_log,single,429904.63,25016.533,739,6,11,6651,6
hadoop,PR-2457,trunk,1,5154.0,1605049543.0,FAILURE,512e8c564d1168eba6d92bcdab0e0a035c8e2ada,96.24798,83,0,92,2020-11-10,375900049cc67c956c163d8ff607682972102313,build_log,single,445.295,84.28899999999999,20,0,0,83,0
hadoop,PR-2502,trunk,1,11750.0,1606726278.0,FAILURE,23b96168c59e3b3738a5c65c3c4e106d7ca3f324,1469.8202,4282,0,258,2020-11-30,44910b53f383f8ab092b7f9889fbf353e057d3f7,build_log,single,21327.658,1367.73,486,0,1,4282,0
hadoop,PR-2558,trunk,1,5631.0,1608211048.0,FAILURE,1086a57128cd658115c06bb7f23ce7ccd27468e2,67.30801,88,0,0,2020-12-17,4c033bafa02855722a901def4773a6a15b214318,build_log,single,401.057,62.508,27,0,0,88,0
hadoop,PR-2562,branch-2.10,1,6581.0,1608252899.0,FAILURE,1f30506d20638361fd6a21607e2c132933759554,14163.45,4695,5,17,2020-12-17,2c45e936821b9bff455c03879a7141fde61595b2,build_log,single,188746.713,13266.014,602,3,7,4695,5
hadoop,PR-309,trunk,9,5121.0,1608520243.0,FAILURE,d45f91b3ecc489afd3befb1f87f878780a04bc49,424.64,392,22,0,2020-12-20,bb528e32399524edc567b1af91f8906218917e9a,build_log,single,5346.572000000001,385.327,49,1,1,392,22
hadoop,PR-309,trunk,10,5139.0,1608535954.0,FAILURE,012c580c5c78a937e6420f6d0a85d8d3fed6d18b,422.87805,393,21,0,2020-12-21,a35fc3871b01d8a3a375f3ae0e330b55a1d9009f,build_log,single,5327.481000000001,384.388,49,1,0,393,21
hadoop,PR-309,trunk,11,5085.0,1608541825.0,FAILURE,7d6a7890afbd1404926128c5ad7683a272b1fd09,422.67502,393,21,0,2020-12-21,a35fc3871b01d8a3a375f3ae0e330b55a1d9009f,build_log,single,5310.354,383.263,49,1,0,393,21
hadoop,PR-309,trunk,12,5140.0,1608629033.0,FAILURE,3075a728df46112336d0257518925202b9381976,425.76105,393,21,0,2020-12-22,4ae561bcb4506eb586d5049ed4c05aee452b2fb9,build_log,single,5356.210000000001,386.876,49,1,0,393,21
hadoop,PR-309,trunk,13,5096.0,1608693750.0,FAILURE,319d0345823eb98c63e76c033dedfa16a270df7c,422.43802,393,21,0,2020-12-22,16a20503cacf12c3d8e27ba90820384f58bed06f,build_log,single,5322.696,383.104,49,1,0,393,21
hadoop,PR-2574,trunk,1,11858.0,1608856768.0,FAILURE,e8033d83f577b71ea5de0317611af5c99237b740,1466.0938,4282,0,258,2020-12-24,005b854f6bad66defafae0abf95dabc6c36ca8b1,build_log,single,21240.465000000004,1364.292,486,0,0,4282,0
hadoop,PR-2574,trunk,2,10247.0,1608871293.0,FAILURE,1e0c7c24eccfe7a4a73951eeff64494afeb0a7c1,1468.5221,4282,0,258,2020-12-24,005b854f6bad66defafae0abf95dabc6c36ca8b1,build_log,single,21284.761,1366.858,486,0,0,4282,0
hadoop,PR-2573,trunk,2,10215.0,1608902683.0,SUCCESS,1e9f2132ab244f01d483aaf893cf7b55b1cd16fa,5019.7734,3069,0,9,2020-12-25,005b854f6bad66defafae0abf95dabc6c36ca8b1,build_log,single,217660.58900000004,4792.053,286,0,6,3069,0
hadoop,PR-2614,trunk,1,6967.0,1610453912.0,SUCCESS,c59b24fece00cf5882ad899c50029b0ec8a8c1a9,136.13998,503,0,7,2021-01-12,ca7dd5fad331e3942547b88fdc4c0ad59865a71a,build_log,single,1118.397,126.113,82,0,0,503,0
hadoop,PR-2611,trunk,2,24582.0,1610486732.0,FAILURE,aed38373a57c8870dde0c96e3b63a82003be2958,26749.22,12527,6,1177,2021-01-12,724edb035440780991e5f99e658fac9a2de79734,build_log,single,416453.732,25388.481,1472,6,19,12527,6
hadoop,PR-2611,trunk,3,27928.0,1610512851.0,FAILURE,3f152f46be55cf028db2ecfdfb2094a44b3d5ebf,33645.39,12437,7,1176,2021-01-12,8ec824f2ba462770c99f4fe3521f4448d5bc7b0a,build_log,single,541159.816,32125.018000000004,1472,6,6,12437,7
hadoop,PR-2611,trunk,5,28045.0,1610654163.0,FAILURE,3decd632279f77c3f77db63063b555044283ae9a,26505.596,12520,1,1178,2021-01-14,630f8ddd2c72c27b02032ed3cf9dde15745ed605,build_log,single,406590.761,25119.244,1477,1,5,12520,1
hadoop,PR-2614,trunk,2,5156.0,1610976427.0,SUCCESS,9444f36db04be15a2b90d6574cc8e3789cd81f78,137.259,503,0,7,2021-01-18,97f843de3a9e86159be5f2bb0cdf6d1ffa0af71d,build_log,single,1118.58,127.204,82,0,0,503,0
