project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
tvm,PR-7763,main,4,33518.0,1617071730.0,SUCCESS,b1f7679cc49c42dae74f554a31247a3c56ff016b,22925.828,10812,0,2570,2021-03-29,9b43a646fc70f3d4a2d033c73380e0bae75f4586,build_log,GPU,5208005.977000001,13015.116000000002,161,0,0,3322,0
tvm,PR-8975,main,8,19729.0,1632075017.0,SUCCESS,f8c3af06bf0cce71c75301eba269e8f3f05c317b,33174.76,23539,0,19974,2021-09-19,b2d80ce323b877cb6c75a18e7d6267176d13b8e5,build_log,GPU,33247723.74300001,19510.63,180,0,0,9012,0
tvm,PR-9329,main,5,17211.0,1635222216.0,FAILURE,26bb2400a753a3ebe9f2c40d46b7a10ae3f894af,27284.361,21115,0,14296,2021-10-26,c2a685e97fa0ba0e60ea1028fb7ec4e9c3da93b7,build_log,GPU,27546392.651,10292.106,161,0,0,5730,0
tvm,PR-9357,main,7,19536.0,1635265122.0,SUCCESS,a8900c8cf76919ff23054f16f4f67a93466cac10,36519.016,24887,0,16077,2021-10-26,ff43f99adaa192b0a628f9b1ea4aa48dd27916c7,build_log,GPU,33297618.203,19778.748,180,0,0,9456,0
tvm,PR-9767,main,1,8210.0,1639726316.0,FAILURE,b8ea8f43c5da6a4b5641ba245ce11b820678c50c,8429.923,8434,0,7157,2021-12-17,b08e8e49b5ea0e406c3ca41610a131dd271f0d41,build_log,GPU,4672948.805999999,4218.299000000001,98,0,0,2243,0
tvm,PR-9767,main,2,8223.0,1639735490.0,FAILURE,8738ba6a1270e72dad47f1013a8fd5c93188b419,13002.776,14615,0,12078,2021-12-17,b08e8e49b5ea0e406c3ca41610a131dd271f0d41,build_log,GPU,4650950.332,4191.519,98,0,0,2235,0
tvm,PR-9329,main,7,18224.0,1641349736.0,FAILURE,ab40d8053cad8027eb54d4748f1def2ec4e6f58d,30405.291,23431,0,13897,2022-01-04,689f2632dbf34c52efd4ec2414baaf66d42e07d2,build_log,GPU,31117112.531000007,11547.931,165,0,0,5754,0
tvm,PR-10008,main,3,44177.0,1643080477.0,FAILURE,1669e08c3604928f32436f7109b801bf8bcca305,44191.39,29053,0,15169,2022-01-24,6720d3593d4dac6015418d4b7e9ad875bbf0b0a2,build_log,GPU,39318659.145,23233.791,186,0,0,9742,0
tvm,PR-9767,main,5,74956.0,1643080507.0,FAILURE,8738ba6a1270e72dad47f1013a8fd5c93188b419,37446.836,22116,0,13430,2022-01-24,6720d3593d4dac6015418d4b7e9ad875bbf0b0a2,build_log,GPU,40321800.60899999,24011.513,186,0,0,9742,0
tvm,PR-9329,main,10,92092.0,1643080529.0,FAILURE,1ddf08988a5b626cf8445a0eefce1c978721acef,43250.24,29057,0,15169,2022-01-24,6720d3593d4dac6015418d4b7e9ad875bbf0b0a2,build_log,GPU,38768547.173,22095.82,186,0,0,9748,0
tvm,PR-9767,main,6,24724.0,1643166973.0,FAILURE,8738ba6a1270e72dad47f1013a8fd5c93188b419,33992.535,22120,0,13430,2022-01-25,2830c9690ae7a2406cd618d6aa03df3f40277dc7,build_log,GPU,37567799.431,22017.109,186,0,0,9746,0
tvm,PR-10008,main,5,15448.0,1643586246.0,SUCCESS,973c63d8007c94d74d8bb14f3bc6be7cbbc3231e,42009.52,29201,0,15291,2022-01-30,779dc51e1332f417fa4c304b595ce76891dfc33a,build_log,GPU,39466757.883,23395.147,186,0,0,9744,0
