project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
hbase,PR-4206,master,1,30273.0,1646988882.0,UNSTABLE,c43eafe7e8ecb622644cc60cccf8ddc755e10a29,66458.64,12205,1,68,2022-03-11,71ff3ec32371e1580155080fff6c4e5535b6ff85,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,347103.87100000004,26837.18,1104,0,0,6106,0
hbase,PR-4215,master,1,22239.0,1647227379.0,UNSTABLE,6180e560eb9e3abf41970b70df7b20f741e1b851,59965.816,12417,7,68,2022-03-13,c3d0cc70400645f89af78c800003e734e9e49852,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,368516.52,28695.941,1099,2,2,6208,2
hbase,PR-4246,master,1,20150.0,1647754779.0,UNSTABLE,c56cdb7fccd6d8e3ba4c2da2b13717703ed2e485,77553.11,12979,8,60,2022-03-20,53a7ca794a98ebd9069ccbf404ece51a559b8e0c,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,372179.186,28888.378,1166,1,2,6500,2
hbase,PR-4258,master,2,17073.0,1647869081.0,UNSTABLE,0568c03cecc25b8b4be16d8c440c8d681f8639c4,84732.19,12521,3,62,2022-03-21,f78f232b2831b86bd3c4fdd046f61044af13e0a3,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,491771.381,40191.64,1123,1,2,6261,1
hbase,PR-4052,master,1,16733.0,1647874511.0,UNSTABLE,85d8067c8f4e36e89d7eaba04c28eedeea99308d,69556.22,13026,3,62,2022-03-21,f78f232b2831b86bd3c4fdd046f61044af13e0a3,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,356035.74700000003,28970.649,1171,2,2,6512,2
hbase,PR-4246,master,2,20971.0,1647875391.0,UNSTABLE,4cff81979f0460d4a3796580549394939cc9be6e,82677.98,12988,3,62,2022-03-21,f78f232b2831b86bd3c4fdd046f61044af13e0a3,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,409710.128,32925.001,1166,1,2,6505,1
hbase,PR-4258,master,3,13856.0,1647886155.0,UNSTABLE,fcfa3a3724d0531807c76768580c933bd0b409bd,68133.73,12522,2,62,2022-03-21,f78f232b2831b86bd3c4fdd046f61044af13e0a3,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,370637.311,31526.911,1123,1,0,6261,1
hbase,PR-4258,master,4,13579.0,1647920979.0,UNSTABLE,feb25f30418b31f2609a1ee8120e1d2dd01d86ff,68791.72,12522,1,62,2022-03-21,b3f00d08ce4bf925d3db22380e741a34eb04e962,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,396431.126,32547.168999999994,1123,1,2,6260,1
hbase,PR-4258,master,5,16036.0,1648118685.0,SUCCESS,e99e2438bb97cf581b3b1908a4f7a7648fbe4355,80637.61,12564,0,64,2022-03-24,ab4351a15528511f2a65f6f32f39a23a19a447fe,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,479578.075,38918.879,1126,0,1,6282,0
hbase,PR-4258,master,6,16025.0,1648134722.0,UNSTABLE,1cc7333228fa056a3563aa4cbd1dfb6ced9d1004,80006.92,12563,1,64,2022-03-24,ec7141720fa3097d78e67ff3cafbec3a59fadbd3,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,483560.149,38435.167,1126,0,0,6282,0
hbase,PR-4275,master,1,11849.0,1648202080.0,UNSTABLE,5102fea7d4b2e124ee770688353ea2da6f085ba3,60222.703,12509,1,64,2022-03-25,4ac600b04b7537d1bb171ba1501ad845dbb37fdb,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,370383.347,28786.130000000005,1106,0,0,6255,0
hbase,PR-4275,master,2,11747.0,1648348962.0,SUCCESS,5102fea7d4b2e124ee770688353ea2da6f085ba3,59710.414,12460,0,64,2022-03-26,698937d32bc480f27c8e8ec04c0aba849c975880,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,360546.322,28257.634,1100,0,0,6230,0
hbase,PR-3360,master,1,12106.0,1648406738.0,UNSTABLE,57baa7b15a9166e7562e72b274dfea8cdf95c58a,63436.684,12530,6,64,2022-03-27,ad70ac2cd18c1411d96cd10e2b0ddb2dfe8c9635,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,369942.711,29261.569,1120,2,2,6265,3
hbase,PR-3352,master,1,15500.0,1648406742.0,UNSTABLE,71583a2c80e2ddf45a7d80fc0c991ab91d8c402b,82352.62,13501,41,66,2022-03-27,ad70ac2cd18c1411d96cd10e2b0ddb2dfe8c9635,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,537906.8099999999,38112.095,1220,5,7,6751,20
hbase,PR-4294,master,1,13860.0,1648542282.0,UNSTABLE,5600a346f2e3c7b0b27f26b59861151c67ab4e58,37641.53,6188,2,31,2022-03-29,1efd8fe53c13cdbfde7cb3d0ff7ebea7b8b7d3bb,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,490926.133,35924.494999999995,1120,1,5,6188,1
hbase,PR-4294,master,2,1992.0,1648696483.0,UNSTABLE,1715c71aca390cfb65782a9d12c7d29bb8798b6a,4379.504,1714,0,2,2022-03-30,828ea9187e8e4f0b95a9cbcac3084a9532d14a53,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,6754.289000000001,2175.435,176,0,0,857,0
hbase,PR-4294,master,3,13700.0,1648702784.0,UNSTABLE,be8d66b6ae9c2ac04c2ae72f2763f9886e845b68,71671.69,13861,1,70,2022-03-31,828ea9187e8e4f0b95a9cbcac3084a9532d14a53,build_log,yetus_jdk8_Hadoop3_checks_precommit_checks,531553.871,35154.181,1269,0,1,6931,0
