project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
hive,PR-2800,master,1,28549.0,1637224400.0,UNSTABLE,3f573802279a7305ccd0e2340ea428b0681f9c4e,103343.38,42539,1,538,2021-11-18,8e693d1b36e1ff0aacd802d16e1a3d0ec72ef04b,nearest_commit,single,6015532.490958,95434.156,1265,1,1,42539,1
hive,PR-2866,master,1,9637.0,1639264767.0,FAILURE,4d80174010eb0fe7c758c901cc198d055e52c123,87308.88,42579,0,540,2021-12-11,2bdf0ccb94f9555dd0c06131a7fb5defcf8010ed,nearest_commit,single,5013232.715,80234.399,1268,0,1,42579,0
hive,PR-2866,master,2,10304.0,1643729391.0,UNSTABLE,4d80174010eb0fe7c758c901cc198d055e52c123,93510.33,42740,1,560,2022-02-01,a8714c15295d08868ff2deaab77634c742a6f5a5,nearest_commit,single,5566530.828000001,86296.927,1267,1,1,42740,1
hive,PR-3133,master,1,32862.0,1648059577.0,UNSTABLE,4a29c41a0fc7e4d2ee929e632c0f1d44372f74d0,100049.78,42857,2,563,2022-03-23,7fc9452ccd36a12ea54aeec6eaa7f596691ad10d,nearest_commit,single,6020149.284984,92175.183,1270,2,3,42857,2
hive,PR-3137,master,1,26753.0,1648124721.0,FAILURE,0e2c8c25c586a5a99ce33eaaa74864053b07a4b8,105715.78,42253,524,562,2022-03-24,aa09f429edb632ad8bfcce3515458f17449b11cc,nearest_commit,single,7037178.281,97731.777,1226,46,46,42253,523
hive,PR-3137,master,2,22636.0,1648151475.0,FAILURE,01a40a4c1ed96f9cd4d8d9c4493b62c30536a67c,101390.766,42268,521,562,2022-03-24,c3fa88a1b7d1475f44383fca913aecf9c664bab0,nearest_commit,single,6323404.612999981,93535.629,1229,45,3,42268,520
hive,PR-3137,master,3,28183.0,1648207066.0,FAILURE,695fb8460ab85bf194cbda73279039c368bff51a,102010.414,42267,520,564,2022-03-25,5d8dae8c37d7e21514db8b74e7ebf74a99ef1df1,nearest_commit,single,6492003.061,94185.083,1230,44,1,42267,519
hive,PR-3137,master,5,13407.0,1648627860.0,FAILURE,458b9c9adb93c5a052343289e38b0fa189a5ae2a,100387.43,42276,518,568,2022-03-30,a6e93633dc15aba179fb6ad422be4cbc88adf071,nearest_commit,single,6533159.48599996,92774.285,1228,46,2,42276,517
hive,PR-3137,master,7,12915.0,1648657357.0,FAILURE,91b01e64fda9fba956813ae4bff4dd7938deabd5,104994.65,42447,357,569,2022-03-30,6c0b86ef0cfc67c5acb3468408e1d46fa6ef8024,nearest_commit,single,6905444.014,96819.452,1231,43,3,42447,356
hive,PR-3137,master,9,12109.0,1648756473.0,FAILURE,1a448a2f6450deee8d5f3e34511f6073e72b6c16,99876.91,42446,358,569,2022-03-31,ee4f5355edc2932af04178f9f4ca404ababf5f59,nearest_commit,single,6153256.29399998,91856.363,1229,45,2,42446,357
