project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
jackrabbit-oak,PR-321,trunk,1,3208.0,1626189746.0,FAILURE,0f8391412f32e9faa9aad7039296ea03ea637fbd,12086.618,19514,5,455,2021-07-13,9464307c900158a8562da9f5645c19f89a62167d,build_log,single,636670.63,10616.936999999998,1897,1,1,19514,5
jackrabbit-oak,PR-293,trunk,1,3915.0,1626189757.0,FAILURE,33eeff631154953a46e563e9bb7312d8bd061f21,11947.063,19520,2,455,2021-07-13,9464307c900158a8562da9f5645c19f89a62167d,build_log,single,602233.481,10842.253,1896,2,3,19520,2
jackrabbit-oak,PR-275,trunk,1,5325.0,1626189764.0,SUCCESS,0adb2507e3d3e17ae2416b513b074db124d764f4,10933.139,19519,0,455,2021-07-13,9464307c900158a8562da9f5645c19f89a62167d,build_log,single,605005.453,9898.977,1898,0,2,19519,0
jackrabbit-oak,PR-342,trunk,1,414.0,1629374549.0,FAILURE,9799e24c5f20543ea1f037f85104f481ece61764,219.44102,1960,0,37,2021-08-19,f201a20daa85f7ecd20c3c0c552850732da87b63,build_log,single,3837.0,216.603,193,0,0,1960,0
jackrabbit-oak,PR-347,trunk,1,3234.0,1629460410.0,FAILURE,c4da7747d6b7a0be63b09e634fd29391e2a45cf5,11392.86,19654,3,455,2021-08-20,4dfed10836051aab6d12cd0dc1b022c0745ae8de,nearest_commit,single,614460.832,10117.683,1907,3,3,19654,3
jackrabbit-oak,PR-348,trunk,1,2697.0,1629493995.0,FAILURE,8dd090548ad4bf5744de5c4a9d71901132f96faf,11048.734,19538,3,440,2021-08-20,082a6346f95fb38ceaffa4833171bce7f823a957,build_log,single,566858.676,9709.493,1893,2,3,19538,3
jackrabbit-oak,PR-161,trunk,2,2944.0,1629571024.0,FAILURE,fc6a23ea5db194b932b79a99cc43431684c811ca,6680.253,6346,0,171,2021-08-21,082a6346f95fb38ceaffa4833171bce7f823a957,build_log,single,320303.77600000007,5860.066,718,0,2,6346,0
jackrabbit-oak,PR-161,trunk,3,2302.0,1629571079.0,SUCCESS,65f5c8a30762b6bb565b2df43f7f529c24383930,11439.522,19660,0,455,2021-08-21,082a6346f95fb38ceaffa4833171bce7f823a957,build_log,single,648513.534,10454.239,1911,0,0,19660,0
jackrabbit-oak,PR-161,trunk,4,2547.0,1629571854.0,FAILURE,e32d2c05b6de0b3078068822effe4bbc3597fd9b,11721.66,19659,1,455,2021-08-21,082a6346f95fb38ceaffa4833171bce7f823a957,build_log,single,641121.3200000001,10778.349000000002,1910,1,1,19659,1
jackrabbit-oak,PR-161,trunk,5,2900.0,1629572255.0,FAILURE,8c3116832b205cfba8a9bae5f668e6865f885e44,11880.58,19659,1,455,2021-08-21,082a6346f95fb38ceaffa4833171bce7f823a957,build_log,single,755743.004,10964.398,1910,1,0,19659,1
jackrabbit-oak,PR-347,trunk,2,2860.0,1629741552.0,FAILURE,908dd2e8cf5778860aadba0de4f0e1847ad9f922,11189.555,19659,3,455,2021-08-23,91058061175b840e7aaf194f599b9e6459eb43a2,build_log,single,624863.983,10134.202,1909,2,3,19659,3
jackrabbit-oak,PR-359,trunk,1,3391.0,1630674671.0,FAILURE,a022d67ea9a067797269059be0c2777d8b8cb0fa,12033.226,19726,2,462,2021-09-03,9daa74679241eb27dfa2c518f815b42b56d265b0,build_log,single,677496.119,11114.618,1915,1,3,19726,2
