project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
james,PR-661,master,2,11402.0,1632039698.0,SUCCESS,4eeeec0c9cfae86da219ffc5c6632a9e68cfb26f,19193.814,73362,0,500,2021-09-19,2c4242c3f8c748582c0c09babb3fec5041970a4f,build_log,Unstable_Tests,477046.1816553201,7407.992,2042,0,0,36678,0
james,PR-685,master,4,12004.0,1633922739.0,SUCCESS,f502aa3b1266585d4169012fe7955007ca37d515,20087.605,74786,0,810,2021-10-10,b4b0a9abe74b3dce63b8928c2f5bb929a3325f2e,build_log,Unstable_Tests,518355.7535716,7809.736000000001,2076,0,0,37390,0
james,PR-685,master,5,15431.0,1633934746.0,SUCCESS,2cd75f7420ee3a6dcf3c2f26e195f3cd981ceb54,25892.2,74786,0,810,2021-10-11,b4b0a9abe74b3dce63b8928c2f5bb929a3325f2e,build_log,Unstable_Tests,643710.686,10068.333,2076,0,0,37390,0
james,PR-661,master,5,11954.0,1633935344.0,SUCCESS,256716536b14b75e68e766981081624d808ebb06,18649.37,73786,0,496,2021-10-11,b4b0a9abe74b3dce63b8928c2f5bb929a3325f2e,build_log,Unstable_Tests,471920.3980039999,7194.371,2044,0,0,36890,0
james,PR-940,master,2,16478.0,1648452480.0,SUCCESS,c93619f8a4b3463389c9ead3757780003b2c2e9a,28789.896,75686,0,508,2022-03-28,fff209a0f9cd50c35fbec1596c9d6fa261c9d808,build_log,Unstable_Tests,794426.272994,11321.86,2114,0,0,37840,0
james,PR-988,master,8,13509.0,1652060209.0,SUCCESS,65170ef2f6b9fd959e769ab6a4ab1c2328fffe5a,22408.99,75818,0,514,2022-05-08,169d83405ec8da1070542822c73a4f2da988b1fe,build_log,Unstable_Tests,622318.6439986201,8734.654,2120,0,0,37906,0
james,PR-1062,master,3,20842.0,1656322432.0,SUCCESS,654a350cb9315306f8f479154cca04865196b86b,33658.027,76360,0,514,2022-06-27,59c865cf2319bbfe45b1cfbd51f65380a4572731,build_log,Unstable_Tests,756753.932,12583.389,2142,0,0,38177,0
james,PR-1067,master,2,18213.0,1656380065.0,SUCCESS,bffe401abd647bd5b5661ff96c516d6d5b160f72,32613.27,76348,0,514,2022-06-27,fe6189ceb10c1f09f014181954ca7cd04a8258ec,build_log,Unstable_Tests,788618.310024,12604.832,2141,0,0,38171,0
james,PR-1069,master,1,17708.0,1656405785.0,SUCCESS,92693b6e99debbb68cbfb9195541365b2c86ff2d,31159.553,76348,0,514,2022-06-28,fe6189ceb10c1f09f014181954ca7cd04a8258ec,build_log,Unstable_Tests,755266.682978,11883.527999999998,2141,0,0,38171,0
james,PR-1069,master,3,17572.0,1656465138.0,SUCCESS,cd54f200dd9b128e3aed979cef547fc692288232,29237.938,76348,0,514,2022-06-28,fe6189ceb10c1f09f014181954ca7cd04a8258ec,build_log,Unstable_Tests,703585.029002,11176.32,2141,0,0,38171,0
james,PR-1069,master,5,17098.0,1656516255.0,SUCCESS,85dba96ac267edb34524ac34cded714b6860c324,28852.43,76348,0,514,2022-06-29,ea51faaf501ca8d7ce5c4f133df3af6627362aa6,build_log,Unstable_Tests,692480.0169654,11267.836,2141,0,0,38171,0
james,PR-1067,master,3,18287.0,1656532824.0,SUCCESS,bffe401abd647bd5b5661ff96c516d6d5b160f72,31425.799,76348,0,514,2022-06-29,ea51faaf501ca8d7ce5c4f133df3af6627362aa6,build_log,Unstable_Tests,747569.9400910002,11787.506,2141,0,0,38171,0
james,PR-988,master,9,19419.0,1656532832.0,SUCCESS,65170ef2f6b9fd959e769ab6a4ab1c2328fffe5a,32877.293,76348,0,514,2022-06-29,ea51faaf501ca8d7ce5c4f133df3af6627362aa6,build_log,Unstable_Tests,780854.65701324,11864.594,2141,0,0,38171,0
james,PR-205,master,2,18541.0,1656532862.0,SUCCESS,dd0cf29b34acfd22f9cf7d6c3720ba7b725226e7,31607.943,76348,0,514,2022-06-29,ea51faaf501ca8d7ce5c4f133df3af6627362aa6,build_log,Unstable_Tests,747065.923,11862.386,2141,0,0,38171,0
james,PR-1072,master,1,17025.0,1656583250.0,SUCCESS,a582fe8a4c147f97e5fbac9109ff1241bb581517,30678.857,76350,0,514,2022-06-30,ea51faaf501ca8d7ce5c4f133df3af6627362aa6,build_log,Unstable_Tests,721996.9640000002,11701.02,2141,0,0,38172,0
james,PR-1071,master,8,16850.0,1656583756.0,SUCCESS,406ff2c6bff64d3040f806e5fd0bf84b5bfe4784,30118.213,76348,0,514,2022-06-30,ea51faaf501ca8d7ce5c4f133df3af6627362aa6,build_log,Unstable_Tests,733684.19898984,11474.679,2141,0,0,38171,0
james,PR-1074,master,2,17240.0,1656601920.0,SUCCESS,19ca6f26e24a18694f75675fd8d68076e5a32433,29141.115,76348,0,514,2022-06-30,2f16931aa47d5c50116f8406b500fffbfe6b231e,build_log,Unstable_Tests,706962.31100416,11291.227,2141,0,0,38171,0
james,PR-1065,master,20,17200.0,1656607703.0,SUCCESS,9fb934c15a81a6a319e14bd174cca0175271c052,28626.979,76348,0,514,2022-06-30,2f16931aa47d5c50116f8406b500fffbfe6b231e,build_log,Unstable_Tests,719746.4959886,11541.652999999998,2141,0,0,38171,0
james,PR-1073,master,3,17661.0,1656637569.0,SUCCESS,af63d96cc9547a9b83430f97e77c41a311c737e7,30671.203,76354,0,514,2022-06-30,2f16931aa47d5c50116f8406b500fffbfe6b231e,build_log,Unstable_Tests,767886.266008,11771.695000000002,2141,0,0,38174,0
james,PR-1073,master,4,18776.0,1656655233.0,SUCCESS,d3b2a500785f81932ff5c4a5a2db711ad66f1ad5,31161.725,76354,0,514,2022-07-01,2f16931aa47d5c50116f8406b500fffbfe6b231e,build_log,Unstable_Tests,767876.7289839999,11681.131,2141,0,0,38174,0
james,PR-1075,master,1,18470.0,1656907191.0,SUCCESS,7e309aee80cda1e81ad0c5a6ab3c3460425aa2cf,31169.533,76354,0,514,2022-07-03,f7e4026763e66db1d88ded212f506af0c9ad9809,build_log,Unstable_Tests,743003.477,11982.186,2141,0,0,38174,0
james,PR-1075,master,2,17324.0,1656925665.0,SUCCESS,24e0a55a19136a8405abf973fdfb5bd64952570e,30846.47,76356,0,514,2022-07-04,8335c9d858bc0535e3bced5b550823afd6326e96,build_log,Unstable_Tests,742813.9739999999,11884.087,2141,0,0,38175,0
