project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
karaf,PR-1213,main,3,18032.0,1607751355.0,ABORTED,a45cb03f411863a1b65757b6c66dfcbaff9117df,16350.955,728,6,36,2020-12-12,9a5aa8b586b7e649084d1ce930debba117bc7be9,build_log,single,98428.8439984,15619.314,167,2,2,728,6
karaf,PR-1077,main,2,4646.0,1607751359.0,SUCCESS,bb87902e08944d28d1670ec2823a6974d9b8d57b,1639.1876,828,0,39,2020-12-12,9a5aa8b586b7e649084d1ce930debba117bc7be9,build_log,single,6327.771000000001,883.849,210,0,2,828,0
karaf,PR-1213,main,4,18036.0,1608308215.0,ABORTED,a45cb03f411863a1b65757b6c66dfcbaff9117df,15679.338,805,5,39,2020-12-18,f311c65fce48a0aa6aadbe4a3489ac5e0cc433b9,build_log,single,91322.68299999998,14899.778,203,1,1,805,5
karaf,PR-1077,main,3,4507.0,1608308221.0,FAILURE,bb87902e08944d28d1670ec2823a6974d9b8d57b,1848.7173,830,1,39,2020-12-18,f311c65fce48a0aa6aadbe4a3489ac5e0cc433b9,build_log,single,7654.06,980.841,210,1,2,830,1
karaf,PR-1287,master,1,4362.0,1610086696.0,FAILURE,49ca16ede41685e9d5a3ad2908d4172238dae873,1680.4543,831,13,39,2021-01-08,6fef62cfb418319ea1afac617d247c5d8eaad65a,build_log,single,6688.204,911.692,208,4,5,831,13
karaf,PR-1287,master,2,6632.0,1610093698.0,FAILURE,ea949f8519cf1d32beb65b4f685033da18a3b317,3786.0603,837,3,39,2021-01-08,6fef62cfb418319ea1afac617d247c5d8eaad65a,build_log,single,17394.561,1928.304,208,3,6,837,3
karaf,PR-1288,master,1,5919.0,1610438231.0,SUCCESS,5f826e6b4cc16e0d117db945c831888aca6d1f81,2306.323,840,0,39,2021-01-12,6fef62cfb418319ea1afac617d247c5d8eaad65a,build_log,single,9463.31,1170.7410000000002,211,0,3,840,0
karaf,PR-1289,master,1,5367.0,1610634630.0,FAILURE,8f99d667e2f6005220efd5f0bea378526f826bcd,2446.8962,839,1,39,2021-01-14,6fef62cfb418319ea1afac617d247c5d8eaad65a,build_log,single,11155.578,1338.918,210,1,1,839,1
karaf,PR-1290,master,1,6560.0,1610687640.0,FAILURE,a9eb089f009a673888bb25f6867b1d9ae88008d6,2145.4907,839,1,39,2021-01-15,0629a5bb3196131fdf99454aa6e723c6ac622e09,build_log,single,8842.510999999999,1066.855,210,1,0,839,1
karaf,PR-1291,master,1,5097.0,1610946300.0,FAILURE,d1883826fb7b7b633fbefdaf2b77e563e9e862d0,2167.691,839,1,39,2021-01-18,0629a5bb3196131fdf99454aa6e723c6ac622e09,build_log,single,9189.654,1135.8369999999998,210,1,0,839,1
karaf,PR-1292,karaf-4.2.x,1,830.0,1612965913.0,FAILURE,d14fca7b01b6e76b1e567409485fdff5f48a4248,294.16513,354,1,7,2021-02-10,e554d1b677a3d71df67caed30d2fdcfd2bd9fc5d,build_log,single,1860.802,62.23599999999999,66,1,1,354,1
karaf,PR-1293,master,1,4634.0,1613038370.0,SUCCESS,97e871a1d762da15abad6aabf32c027e55761701,1628.6223,844,0,39,2021-02-11,0629a5bb3196131fdf99454aa6e723c6ac622e09,build_log,single,6672.920999999999,883.468,212,0,1,844,0
karaf,PR-1294,karaf-4.2.x,1,887.0,1613038371.0,FAILURE,4b1c321d0f4d5a857ef934b152191e71465fe6bd,287.22507,354,1,7,2021-02-11,e2219f52d62016a4e72c5858c1a9ae790947fb8a,build_log,single,1690.743,68.172,66,1,0,354,1
karaf,PR-1295,master,1,4663.0,1613062313.0,SUCCESS,076d211a81c0420a407f989ef550ffeb75d8d678,1773.43,840,0,39,2021-02-11,0629a5bb3196131fdf99454aa6e723c6ac622e09,build_log,single,7237.013,888.787,211,0,0,840,0
karaf,PR-1294,karaf-4.2.x,2,933.0,1613115941.0,FAILURE,193c54827382b11bbefa7216e8c54579865951f0,313.4441,354,1,7,2021-02-12,364f25ccb7077ca3f17b53789139fb8d1e1ef78b,build_log,single,1841.404,71.646,66,1,0,354,1
karaf,PR-1296,master,1,5662.0,1613576515.0,SUCCESS,0329dadcb9d9dc668b8512a3fb19cda6a2d3afb1,2018.7106,840,0,39,2021-02-17,169506b2af17f475350d6e6e3cac5965ffaf3a34,build_log,single,8250.359,1062.723,211,0,0,840,0
karaf,PR-1290,master,2,21677.0,1613734948.0,SUCCESS,6c07e5215a8dfb4bfc7240ce6b0722a2930425ba,1750.0101,840,0,39,2021-02-19,cd7b07380e937ff2edeec434870a420a02408ddd,build_log,single,7928.9370008,853.592,211,0,0,840,0
karaf,PR-1297,master,1,4632.0,1613891763.0,SUCCESS,0312f9a3e10396986bb827b113539cc9cd3c9496,1607.241,840,0,39,2021-02-21,cd7b07380e937ff2edeec434870a420a02408ddd,build_log,single,6338.328,835.3209999999999,211,0,0,840,0
karaf,PR-1298,master,1,5429.0,1613891918.0,FAILURE,1c39664e66b7902deb527b011956c9e9f76d6693,2396.7334,839,1,39,2021-02-21,cd7b07380e937ff2edeec434870a420a02408ddd,build_log,single,9793.648,1334.5410000000002,210,1,1,839,1
karaf,PR-1299,master,1,6548.0,1613975076.0,SUCCESS,d69b6c8e1a425a1c5473c20a641a6f32b00bf1b8,2813.1528,840,0,39,2021-02-22,0e88b03b98fb6ec0fe41577c725cf0295a934878,build_log,single,12531.621999999998,1360.9829999999995,211,0,1,840,0
karaf,PR-1300,master,1,4929.0,1613975196.0,FAILURE,020b0302aa286da24334de09b55dbd3cc8a88877,2194.4233,838,2,39,2021-02-22,0e88b03b98fb6ec0fe41577c725cf0295a934878,build_log,single,8626.526,1101.1509999999998,209,2,2,838,2
karaf,PR-1300,master,2,6266.0,1614084872.0,FAILURE,b8103cf7e80e389374f7b273c6b82a6c197c6e0b,1583.2433,839,1,39,2021-02-23,c9b5e5f7bfb4c016da86b671e49abdba5146f00c,build_log,single,6469.135,794.009,210,1,3,839,1
karaf,PR-1290,master,4,6705.0,1614084937.0,SUCCESS,b212562d8b215d38da0773993552a4ab7084132f,1662.5347,840,0,39,2021-02-23,c9b5e5f7bfb4c016da86b671e49abdba5146f00c,build_log,single,6711.836000000001,840.563,211,0,1,840,0
karaf,PR-1301,master,1,6265.0,1614085658.0,SUCCESS,8271c23c48eabb2409322cc2aa11d779ebaf4eaa,1764.0215,840,0,39,2021-02-23,c9b5e5f7bfb4c016da86b671e49abdba5146f00c,build_log,single,7511.147000000001,852.816,211,0,0,840,0
karaf,PR-1302,karaf-4.2.x,1,2264.0,1614085777.0,FAILURE,be293e4dfd7ad9966ef61ac5b3f22127ca9814a6,220.62907,354,1,7,2021-02-23,88d8f78aae7233be7bc3dc26f7021f12dc4c1678,build_log,single,1287.62,59.276,66,1,0,354,1
karaf,PR-1301,master,2,9756.0,1614099965.0,SUCCESS,986eac8085ae56e19980cf4c9cbe4bd59ec47e20,1558.8055,840,0,39,2021-02-23,c9b5e5f7bfb4c016da86b671e49abdba5146f00c,build_log,single,6233.65,799.1809999999999,211,0,0,840,0
karaf,PR-1302,karaf-4.2.x,2,6830.0,1614100288.0,FAILURE,06db970a1b19f6b28a055c684c2b8efb97d06e63,248.38,354,1,7,2021-02-23,88d8f78aae7233be7bc3dc26f7021f12dc4c1678,build_log,single,1473.928,66.494,66,1,0,354,1
karaf,PR-1303,master,1,5122.0,1614231234.0,SUCCESS,00b5dbc2da5abd89e82386ab2076d087d88f50be,1729.6399,840,0,39,2021-02-25,c9b5e5f7bfb4c016da86b671e49abdba5146f00c,build_log,single,7099.0000008,909.566,211,0,0,840,0
karaf,PR-1303,master,2,5264.0,1614322461.0,SUCCESS,e36f267170a40a2619e454a883c676be341cf384,1860.1581,840,0,39,2021-02-26,9976e1d2bfc18d84a18b15c01d34bafd217bf72e,build_log,single,7916.2589991999985,844.301,211,0,0,840,0
karaf,PR-1300,master,3,5086.0,1614403708.0,FAILURE,6a01b4a6e6d3ec6e8256d1fe85222fa1f7977d52,2243.26,835,5,39,2021-02-27,6d2c35fc84a6f2e8b221b02bc54f533ac6cfad4c,build_log,single,8603.676000000001,1257.496,207,4,4,835,5
karaf,PR-1304,master,1,4977.0,1614403818.0,FAILURE,d0276d7d8ddb0653127b142aeaaf7db79c4be0e8,2032.7341,838,2,39,2021-02-27,6d2c35fc84a6f2e8b221b02bc54f533ac6cfad4c,build_log,single,8008.162998399999,1077.371,209,2,6,838,2
karaf,PR-1305,master,1,4436.0,1614405496.0,FAILURE,bf8c33b52f286aa78560062b6833fa6a83966f7e,1833.7338,839,1,39,2021-02-27,6d2c35fc84a6f2e8b221b02bc54f533ac6cfad4c,build_log,single,6867.723,915.916,210,1,3,839,1
karaf,PR-1306,master,1,1653.0,1614493740.0,FAILURE,39a7ffa8b3bbda4c76477b77422815716c44fa1d,744.72705,612,1,34,2021-02-28,515a38afbf95f1e99bd2e6c4c54fcd8723b3afc2,build_log,single,3712.2990007999992,150.459,141,1,1,612,1
karaf,PR-1307,master,1,5504.0,1614493809.0,FAILURE,048bc20ca217c9b3fd4acc9c684a1224adaf398d,2889.3892,837,3,39,2021-02-28,515a38afbf95f1e99bd2e6c4c54fcd8723b3afc2,build_log,single,9653.895,2092.227,209,2,4,837,3
karaf,PR-1308,master,1,4662.0,1614496033.0,SUCCESS,a9a689fd6bf904b9657304e29c854d083ea3bb72,1548.1913,840,0,39,2021-02-28,515a38afbf95f1e99bd2e6c4c54fcd8723b3afc2,build_log,single,6336.187000000001,788.3800000000001,211,0,2,840,0
karaf,PR-1309,master,1,4711.0,1614496224.0,SUCCESS,386944f087bfdb1b3a2eca6307fc150aa10b8225,1715.3986,840,0,39,2021-02-28,515a38afbf95f1e99bd2e6c4c54fcd8723b3afc2,build_log,single,6673.015,857.393,211,0,0,840,0
karaf,PR-1310,master,1,5600.0,1614507225.0,SUCCESS,73ff37a121c4e362fddfd178ebd2fa4999fd6495,2061.7344,840,0,39,2021-02-28,515a38afbf95f1e99bd2e6c4c54fcd8723b3afc2,build_log,single,8487.146,1074.554,211,0,0,840,0
karaf,PR-1311,master,1,5865.0,1614517440.0,SUCCESS,84866fae52b5b2e043f02c60cab9a5e36f6f8845,2345.6802,840,0,39,2021-02-28,d562e4b0e6216e330a96a142705996c9aaa30b15,build_log,single,8958.234000800003,1235.369,211,0,0,840,0
karaf,PR-1312,master,1,4325.0,1614517514.0,SUCCESS,f7307754ed22fa874f430f9801d6e535ed410d20,1543.7003,840,0,39,2021-02-28,d562e4b0e6216e330a96a142705996c9aaa30b15,build_log,single,6233.926,793.193,211,0,0,840,0
karaf,PR-1307,master,2,4512.0,1614517566.0,SUCCESS,6b29b7784b200a907ca58c948127a5a2cabae4eb,1544.7336,840,0,39,2021-02-28,d562e4b0e6216e330a96a142705996c9aaa30b15,build_log,single,6306.5399992,780.817,211,0,0,840,0
karaf,PR-1306,master,2,4994.0,1614517605.0,FAILURE,2eb9adcb259e81efc2fb19989c0cdf1d026b7399,2172.809,839,1,39,2021-02-28,d562e4b0e6216e330a96a142705996c9aaa30b15,build_log,single,9078.893,1175.975,210,1,1,839,1
karaf,PR-1300,master,4,4278.0,1614517632.0,SUCCESS,5cef5e2d7ec9dc47667435c906fc668fdd5ccb8d,1554.297,840,0,39,2021-02-28,d562e4b0e6216e330a96a142705996c9aaa30b15,build_log,single,6338.312,785.1749999999998,211,0,1,840,0
karaf,PR-1306,master,3,6538.0,1614579848.0,FAILURE,e5e192ceb871763754c5393411750db1380c78a2,3447.538,831,9,39,2021-03-01,01840470fdca9e6fb412683d5ee3707404fd26cb,build_log,single,15723.138,1449.7189999999998,204,7,7,831,9
karaf,PR-1306,master,4,4994.0,1614696667.0,SUCCESS,a2fbe34e88e52ed87b05e58a4676e63355fa448f,1738.1823,840,0,39,2021-03-02,d4775fed31449fb71aab6f510aaa384f8f416c61,build_log,single,7232.641,896.369,211,0,7,840,0
karaf,PR-1310,master,2,5991.0,1614696741.0,FAILURE,8d679128379528f73065757e29c91965396427e7,2626.9443,838,2,39,2021-03-02,d4775fed31449fb71aab6f510aaa384f8f416c61,build_log,single,11596.305,1296.3090000000002,209,2,2,838,2
karaf,PR-1308,master,2,5328.0,1614696816.0,SUCCESS,dd1e378040ccc85a3ee847d3a18db571cbfbaae2,1894.2955,840,0,39,2021-03-02,d4775fed31449fb71aab6f510aaa384f8f416c61,build_log,single,7655.859999999999,1040.802,211,0,2,840,0
karaf,PR-1310,master,3,5869.0,1614753949.0,SUCCESS,2eb8a71ac1df4fd968997dab845123f19567a50f,2215.034,840,0,39,2021-03-03,31935802071e917a6a8a5f4c31d1302c2b0a7e03,build_log,single,9266.839000000002,1121.925,211,0,0,840,0
karaf,PR-1313,master,1,4857.0,1614768171.0,FAILURE,04b081db1bfa66a913e98ddeec521db4f45e696f,2111.0205,839,1,39,2021-03-03,6508e19badc650fa1da9020e03eb4adce2468ab8,build_log,single,9020.0670016,1172.667,210,1,1,839,1
karaf,PR-1314,master,1,5624.0,1614789094.0,SUCCESS,93b5baa6e727b5e284992a8eb5adcdadb5fb02c9,2070.6494,840,0,39,2021-03-03,cebf5488cfedbd7546f810e919f615d604cf162a,build_log,single,8494.249,1091.966,211,0,1,840,0
karaf,PR-1316,karaf-4.2.x,1,4378.0,1614834146.0,SUCCESS,31c43c548bd7374bb8c4035488985a1a31f57765,1572.2073,913,0,34,2021-03-04,45c1abc08c6c2e263cef5ca5719f4e6d0fa84c2f,build_log,single,7838.601000000001,819.411,209,0,0,913,0
karaf,PR-1317,master,1,4469.0,1614834373.0,FAILURE,d04c55f9f7f25ed59f123009f6b071b7e8650d13,1720.409,839,1,39,2021-03-04,6dc6cfde9d6679bccf6b3cc67ec6a5f0e2cf6293,build_log,single,6902.894000799999,862.8670000000001,210,1,1,839,1
karaf,PR-1315,master,2,4732.0,1614835167.0,SUCCESS,ec03b063cd491d10804871d95bd1c6cf572b1924,1650.9235,840,0,39,2021-03-04,6dc6cfde9d6679bccf6b3cc67ec6a5f0e2cf6293,build_log,single,6654.376,836.2570000000001,211,0,1,840,0
karaf,PR-1294,karaf-4.2.x,3,8395.0,1614838990.0,SUCCESS,7fc877f6789c987a4d65cc0201b4a58a41d122fb,5178.048,917,0,34,2021-03-04,4963d4c16f26a8e80989708df4559ed7797b32cb,build_log,single,34402.62,2764.788,210,0,0,917,0
karaf,PR-1317,master,2,5996.0,1614863359.0,SUCCESS,3bd7e7520efb8b6d8feca4a9af3aef3a58d4bcbb,2342.568,844,0,39,2021-03-04,221288086037b50c3e71077cc33d4f10951bca86,build_log,single,9828.845,1266.6129999999998,212,0,0,844,0
karaf,PR-1289,master,2,5383.0,1614865040.0,FAILURE,0e4a0535d5d0b523cdd84a815052f3aa3e7e993d,2281.5625,843,1,39,2021-03-04,221288086037b50c3e71077cc33d4f10951bca86,build_log,single,9336.014000800002,1239.131,211,1,1,843,1
